name,affiliation,departments,email,website,interests,title,year,venue
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Math Talk: Preparing Your Conference Presentation,2014,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Why You Need a Summer Plan,2014,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,The Fundamental Principle of Productivity: What they DON'T teach you in graduate school,2014,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Crystal bases of q-deformed Kac modules over the quantum superalgebras Uq (gl (mln)),2014,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Math: That Thing You Do.,2013,"Journal of Humanistic Mathematics 3 (1), 2013"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"Extended Book Review: Mathematics in Popular Culture: Essays on Appearances in Film, Fiction, Games, Television and Other Media, edited by Jessica K. Sklar and Elizabeth S …",2013,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"Book Review: Shaping Space: Exploring Polyhedra in Nature, Art, and the Geometrical Imagination",2013,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"Supercharacters, Exponential Sums, and the Uncertainty Principle",2013,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Book Review: The 5 Elements of Effective Thinking,2013,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Selma Karaali and Artemis Karaali,2013,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,The Journal of Humanistic Mathematics,2012,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Mathematical Creation,2012,"Journal of Humanistic Mathematics 2 (1), 1, 2012"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"A Tale of Two Workshops: Two Workshops, Three Papers, New Ideas",2012,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Book Review: Philosophy of Science after Feminism by Janet Kourany,2012,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Ramanujan Sums as Supercharacters,2012,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Lusztig Symmetries and Automorphisms of Quantum Superalgebras,2012,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Classification of Four and Six Dimensional Drinfel'd Superdoubles,2012,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Book Review: Topics in Physical Mathematics,2012,
